27, 125 pa2-debug-f-our-output2.txt
  351.53,   594.52,   108.01
  348.07,   597.07,   233.08
  344.30,   599.62,   357.80
  353.35,   719.50,   105.57
  349.94,   722.02,   230.44
  346.09,   724.73,   355.40
  355.44,   844.59,   103.15
  351.84,   847.30,   228.15
  347.90,   849.63,   353.07
  100.64,   598.79,   225.68
   96.96,   599.59,   350.89
   93.50,   599.81,   475.33
  100.45,   723.99,   225.22
   96.63,   724.47,   350.11
   93.21,   725.31,   474.95
  100.34,   849.14,   224.55
   96.45,   849.56,   349.83
   92.89,   850.04,   474.52
  225.62,   599.15,   229.41
  222.06,   599.90,   354.64
  218.38,   600.26,   479.54
  225.27,   724.34,   228.95
  221.49,   724.82,   353.80
  217.89,   725.43,   478.67
  224.92,   849.08,   228.28
  221.14,   849.79,   353.39
  217.58,   850.25,   478.24
  350.53,   599.48,   233.26
  346.91,   600.17,   357.92
  343.31,   600.39,   483.13
  350.36,   724.47,   232.52
  346.73,   725.21,   357.54
  342.77,   725.57,   482.52
  350.03,   849.66,   232.29
  346.49,   849.94,   357.10
  342.73,   850.62,   482.08
   98.22,   597.96,   352.01
  100.18,   598.75,   476.54
  102.18,   599.72,   601.91
   96.27,   723.04,   351.37
   98.13,   723.90,   475.88
   99.67,   724.38,   601.04
   94.17,   848.01,   350.30
   96.23,   848.87,   475.39
   97.56,   849.55,   600.57
  223.30,   600.04,   350.22
  225.14,   600.88,   475.02
  226.90,   601.65,   599.93
  221.36,   725.21,   349.65
  222.95,   725.94,   474.43
  224.94,   726.76,   599.24
  219.19,   850.14,   348.93
  221.04,   850.71,   473.48
  222.87,   851.61,   598.80
  348.30,   602.40,   348.16
  350.11,   603.05,   473.07
  352.13,   603.66,   598.23
  346.14,   727.17,   347.49
  348.10,   727.89,   472.47
  349.73,   728.87,   597.44
  344.26,   852.40,   346.96
  346.20,   853.01,   471.87
  347.63,   853.67,   596.74
   98.46,   600.72,   476.11
   96.29,   603.94,   601.38
   94.23,   607.62,   726.38
   98.48,   725.93,   473.00
   95.93,   729.15,   597.95
   94.27,   732.57,   722.81
   97.94,   850.80,   469.41
   95.87,   854.01,   594.62
   93.93,   857.40,   719.50
  223.45,   601.24,   478.13
  221.49,   604.20,   603.28
  219.39,   607.68,   728.08
  223.11,   726.23,   474.82
  220.99,   729.33,   600.13
  219.21,   732.67,   725.08
  222.95,   850.96,   471.51
  220.92,   854.27,   596.84
  218.89,   857.39,   721.63
  348.31,   601.27,   480.59
  346.56,   604.89,   605.28
  344.12,   608.30,   730.18
  348.15,   726.41,   477.21
  346.09,   729.79,   601.94
  344.01,   733.05,   726.93
  347.86,   851.26,   473.91
  345.82,   854.65,   598.62
  343.73,   858.05,   723.49
  101.76,   598.46,   600.09
  101.11,   601.69,   724.91
  100.39,   604.90,   849.79
  100.61,   723.34,   596.85
  100.07,   726.63,   721.41
   99.08,   729.84,   846.67
   99.56,   848.21,   593.42
   98.66,   851.58,   718.24
   97.99,   854.93,   843.23
  226.79,   599.63,   600.54
  226.01,   603.00,   725.47
  225.35,   606.46,   850.45
  225.66,   724.49,   597.27
  224.83,   727.76,   722.38
  224.18,   731.14,   847.38
  224.49,   849.68,   594.03
  223.73,   853.09,   719.03
  223.11,   856.18,   844.06
  352.10,   600.84,   601.44
  351.16,   604.37,   726.42
  350.49,   607.23,   851.27
  350.67,   725.94,   598.01
  349.87,   729.09,   722.94
  349.31,   732.67,   847.99
  349.39,   850.90,   594.94
  348.62,   854.19,   719.68
  347.93,   857.29,   844.79
  223.30,    98.20,    99.87
  224.93,    96.12,   225.05
  226.80,    94.26,   349.85
  220.07,   223.03,   102.05
  221.78,   220.94,   226.82
  223.44,   219.11,   351.84
  216.94,   348.13,   103.70
  218.40,   345.83,   228.91
  220.43,   343.92,   353.77
  348.28,   101.25,    98.27
  349.96,    99.38,   222.99
  351.76,    97.46,   348.13
  344.94,   226.15,   100.23
  346.82,   224.45,   225.31
  348.28,   222.53,   350.05
  341.70,   351.20,   102.18
  343.58,   349.34,   227.12
  345.37,   347.34,   352.14
  473.15,   104.52,    96.64
  474.99,   102.56,   221.55
  476.73,   100.44,   346.58
  469.78,   229.46,    98.48
  471.74,   227.65,   223.44
  473.23,   225.66,   348.32
  466.63,   354.45,   100.29
  468.60,   352.63,   225.65
  470.24,   350.55,   350.61
  223.10,    99.36,   224.01
  224.75,    98.04,   348.87
  226.15,    96.28,   473.93
  223.77,   224.46,   225.30
  225.20,   223.03,   350.46
  226.83,   221.48,   475.44
  224.43,   349.53,   226.74
  225.94,   347.94,   351.89
  227.46,   346.31,   476.92
  347.85,    98.67,   222.30
  349.72,    97.13,   347.40
  351.04,    95.73,   472.43
  348.63,   223.84,   223.85
  350.37,   222.39,   348.78
  351.74,   220.80,   473.68
  349.66,   348.87,   225.44
  350.90,   347.33,   350.46
  352.57,   345.74,   475.38
  473.20,    98.34,   220.98
  474.63,    96.74,   345.77
  476.17,    95.10,   470.73
  473.93,   223.16,   222.22
  475.34,   221.47,   347.32
  476.76,   219.99,   472.40
  474.47,   347.92,   223.73
  476.00,   346.42,   348.72
  477.63,   345.19,   473.94
  223.24,    98.03,   349.87
  219.71,    95.56,   475.16
  216.56,    93.51,   599.93
  220.64,   223.01,   352.36
  217.30,   220.77,   477.39
  214.38,   218.32,   602.23
  218.30,   347.82,   354.46
  215.15,   345.63,   479.44
  211.82,   343.45,   604.45
  347.99,   100.53,   353.16
  344.68,    98.19,   478.20
  341.45,    95.74,   603.14
  345.68,   225.20,   355.59
  342.34,   223.11,   480.60
  339.29,   220.65,   605.66
  343.25,   350.30,   357.95
  339.93,   348.21,   482.99
  336.90,   345.69,   607.94
  473.16,   102.70,   356.69
  469.62,   100.25,   481.81
  466.29,    98.13,   606.43
  470.64,   227.83,   359.14
  467.38,   225.29,   483.72
  464.18,   223.20,   608.71
  468.32,   352.67,   360.99
  464.87,   350.38,   485.95
  461.73,   348.03,   611.15
  226.13,   100.34,   475.20
  227.23,    96.89,   600.01
  228.27,    93.48,   724.90
  229.23,   225.45,   478.41
  230.39,   221.80,   603.34
  231.28,   218.33,   728.51
  232.46,   350.34,   481.88
  233.55,   346.60,   606.72
  234.43,   342.99,   732.02
  351.04,    97.27,   473.76
  352.04,    93.73,   599.01
  353.03,    90.14,   723.89
  354.40,   222.15,   477.56
  355.37,   218.66,   602.27
  356.45,   215.01,   727.21
  357.39,   347.06,   481.08
  358.30,   343.58,   605.83
  359.19,   340.21,   730.85
  476.23,    94.20,   472.77
  477.21,    90.40,   598.01
  478.09,    87.19,   722.94
  479.33,   218.97,   476.61
  480.15,   215.73,   601.46
  481.34,   211.88,   726.38
  482.35,   344.01,   479.77
  483.36,   340.24,   604.81
  484.47,   336.94,   729.80
  225.04,    99.62,   600.14
  228.34,    97.43,   725.12
  231.84,    95.32,   850.07
  226.92,   224.48,   602.62
  230.62,   222.32,   727.44
  234.07,   220.24,   852.54
  229.11,   349.46,   604.83
  232.82,   347.47,   729.80
  236.06,   345.11,   854.62
  349.82,    97.65,   596.66
  353.51,    95.42,   721.83
  356.90,    92.99,   846.56
  351.98,   222.53,   598.98
  355.56,   220.48,   723.74
  358.96,   218.03,   848.64
  354.29,   347.61,   601.09
  357.66,   345.18,   726.31
  361.10,   342.84,   850.90
  474.99,    95.69,   593.33
  478.38,    93.18,   718.39
  481.95,    91.22,   843.27
  476.89,   220.38,   595.66
  480.54,   218.39,   720.43
  483.81,   216.20,   845.44
  478.96,   345.28,   597.49
  482.47,   342.99,   722.36
  486.10,   340.96,   847.62
  225.79,   225.78,    99.87
  228.50,   228.77,   224.77
  231.17,   231.22,   349.48
  228.91,   350.63,    96.84
  231.53,   353.72,   221.98
  233.94,   356.10,   346.67
  231.78,   475.84,    94.19
  234.70,   478.36,   219.21
  237.20,   481.08,   343.86
  350.76,   222.77,    97.20
  353.59,   225.69,   222.09
  356.24,   228.43,   347.08
  353.90,   347.77,    94.38
  356.67,   350.56,   219.51
  359.06,   353.41,   344.22
  356.71,   472.51,    91.35
  359.23,   475.39,   216.52
  362.05,   478.34,   341.33
  475.95,   220.00,    94.58
  478.42,   222.55,   219.34
  481.18,   225.32,   344.29
  478.85,   344.64,    91.60
  481.31,   347.60,   216.85
  484.11,   350.23,   341.59
  481.70,   469.78,    89.01
  484.06,   472.36,   213.81
  486.91,   475.12,   338.68
  226.52,   226.03,   226.08
  226.76,   229.39,   351.23
  226.69,   232.69,   476.26
  227.31,   351.06,   222.72
  227.70,   354.58,   347.82
  227.64,   357.86,   472.89
  228.67,   475.85,   219.46
  228.53,   479.21,   344.48
  228.53,   482.85,   469.32
  351.33,   225.02,   226.23
  351.69,   228.44,   351.23
  351.68,   231.86,   476.09
  352.55,   349.92,   222.77
  352.51,   353.55,   347.78
  352.63,   356.90,   472.66
  353.35,   474.83,   219.35
  353.45,   478.25,   344.43
  353.64,   481.89,   469.57
  476.54,   224.22,   226.05
  476.65,   227.53,   350.94
  476.68,   231.05,   476.04
  477.35,   349.25,   222.82
  477.38,   352.46,   347.68
  477.67,   355.62,   472.64
  478.50,   474.12,   219.23
  478.44,   477.19,   344.49
  478.61,   480.91,   469.51
  223.28,   225.67,   349.21
  221.08,   228.59,   474.18
  219.27,   231.56,   599.13
  222.07,   350.81,   346.29
  220.03,   353.39,   471.54
  218.18,   356.32,   596.47
  220.82,   475.51,   343.69
  218.94,   478.46,   468.60
  216.91,   481.45,   593.51
  348.21,   226.88,   351.09
  346.35,   229.93,   475.91
  344.19,   232.65,   600.98
  347.11,   351.82,   348.25
  345.22,   354.57,   473.09
  343.14,   357.65,   598.05
  345.74,   476.85,   345.52
  343.92,   479.90,   470.54
  341.91,   482.63,   595.42
  472.84,   228.15,   353.06
  471.01,   230.87,   478.13
  469.25,   233.92,   602.73
  472.05,   353.14,   349.93
  470.14,   356.12,   474.92
  468.19,   358.86,   600.02
  470.85,   478.14,   347.09
  468.78,   480.88,   472.26
  467.03,   483.74,   597.34
  224.32,   224.53,   474.39
  222.41,   221.52,   599.45
  220.55,   218.95,   724.38
  225.06,   349.50,   477.55
  223.06,   346.75,   602.29
  221.33,   343.86,   727.17
  226.04,   474.51,   480.45
  224.00,   471.70,   605.14
  222.04,   468.58,   730.18
  349.58,   223.73,   476.35
  347.52,   220.94,   601.26
  345.66,   217.95,   726.18
  349.97,   349.03,   479.58
  348.18,   345.87,   604.24
  345.97,   343.03,   729.36
  350.78,   473.68,   482.41
  348.96,   470.84,   607.27
  346.85,   467.92,   732.10
  474.56,   223.08,   478.42
  472.46,   220.45,   603.23
  470.37,   217.26,   728.51
  475.17,   348.09,   481.51
  473.06,   345.26,   606.43
  471.25,   342.20,   731.16
  475.78,   473.19,   484.16
  473.70,   470.26,   609.02
  471.71,   467.21,   734.01
  224.27,   224.28,   598.31
  224.86,   222.71,   723.10
  226.00,   220.72,   848.06
  226.68,   349.09,   599.97
  227.50,   347.33,   724.83
  228.73,   345.58,   850.16
  229.29,   474.23,   601.75
