27, 125 pa2-unknown-i-our-output2.txt
  217.45,   480.10,   850.82
  221.94,   599.61,   598.06
  219.47,   602.43,   723.02
  216.62,   604.99,   848.21
  348.58,   350.46,   606.57
  345.78,   353.20,   731.50
  343.11,   355.82,   856.27
  347.80,   475.47,   603.56
  345.30,   478.35,   728.38
  342.42,   481.10,   853.47
  346.91,   600.54,   600.85
  344.17,   603.35,   725.68
  341.76,   605.85,   850.60
   98.43,   476.34,   100.37
   96.18,   478.77,   225.38
   93.91,   481.82,   350.13
   99.49,   601.42,    97.71
   97.01,   603.86,   222.68
   94.84,   606.75,   347.58
  100.53,   726.27,    95.10
   98.28,   728.90,   220.11
   95.97,   731.61,   345.15
  223.33,   475.16,   102.95
  221.10,   477.94,   227.75
  218.65,   480.76,   352.86
  224.34,   600.15,   100.24
  222.14,   603.07,   225.17
  219.57,   605.54,   350.04
  225.34,   725.06,    97.28
  222.97,   727.79,   222.34
  220.56,   730.56,   347.28
  348.36,   474.22,   105.25
  346.00,   477.02,   230.08
  343.81,   479.68,   355.18
  349.34,   599.23,   102.34
  347.11,   601.96,   227.51
  344.87,   604.60,   352.47
  350.64,   724.53,    99.78
  348.13,   726.86,   224.71
  345.60,   729.59,   349.65
  101.84,   473.52,   224.91
  103.00,   472.87,   349.77
  104.34,   471.71,   474.92
  105.21,   598.56,   225.82
  106.81,   597.53,   350.63
  108.16,   596.78,   475.49
  108.64,   723.64,   226.64
  110.26,   722.73,   351.30
  111.67,   721.61,   476.60
  226.66,   470.11,   223.49
  227.94,   469.01,   348.25
  229.70,   468.48,   473.41
  230.32,   595.13,   224.36
  231.45,   594.29,   349.16
  233.26,   593.35,   474.08
  233.89,   719.90,   225.19
  235.20,   719.18,   350.04
  236.67,   718.28,   474.93
  351.75,   466.55,   221.99
  352.94,   465.87,   346.90
  354.28,   464.73,   472.14
  355.31,   591.39,   222.89
  356.70,   590.56,   347.61
  358.23,   589.59,   472.93
  358.88,   716.50,   223.68
  360.04,   715.55,   348.55
  361.51,   714.82,   473.79
   99.49,   475.74,   349.27
   96.03,   476.25,   474.21
   92.86,   476.73,   599.05
   96.11,   600.53,   348.53
   92.62,   600.86,   473.40
   89.33,   601.64,   598.27
   92.66,   725.36,   348.17
   88.84,   726.19,   472.99
   85.98,   726.45,   598.08
  224.41,   479.12,   352.49
  220.97,   479.79,   477.45
  217.57,   479.91,   602.27
  220.69,   603.90,   352.03
  217.55,   604.38,   476.71
  214.17,   605.06,   601.99
  217.32,   729.08,   351.41
  214.01,   729.35,   476.48
  210.57,   730.06,   601.25
  349.03,   482.48,   355.86
  345.78,   483.14,   480.94
  342.39,   483.47,   605.72
  345.76,   607.34,   355.22
  342.41,   608.02,   480.27
  339.36,   608.54,   605.24
  342.49,   732.40,   354.80
  339.18,   733.02,   479.80
  335.75,   733.45,   604.47
   99.94,   474.33,   473.12
  102.13,   476.51,   598.24
  104.20,   478.57,   722.81
  102.93,   599.25,   471.19
  105.37,   601.34,   596.04
  107.55,   603.63,   720.99
  106.21,   724.46,   468.88
  108.41,   726.37,   593.84
  110.34,   728.26,   718.91
  224.88,   471.43,   470.69
  227.02,   473.23,   595.68
  229.17,   475.24,   720.88
  228.04,   596.47,   468.97
  230.17,   598.32,   593.96
  232.28,   600.36,   718.79
  231.13,   721.34,   466.73
  233.12,   723.12,   591.82
  235.33,   725.09,   716.63
  349.95,   468.21,   468.61
  351.83,   470.04,   593.60
  354.15,   472.38,   718.79
  352.83,   592.99,   466.90
  355.08,   595.03,   591.61
  357.42,   596.98,   716.50
  356.14,   717.96,   464.56
  358.12,   719.88,   589.78
  360.58,   721.94,   714.62
  101.81,   473.39,   598.60
   99.33,   473.53,   723.22
   97.11,   473.60,   848.23
   99.04,   598.07,   598.16
   96.40,   598.56,   723.14
   93.88,   598.77,   847.86
   96.06,   723.29,   597.72
   93.35,   723.46,   722.59
   91.01,   723.65,   847.74
  226.91,   476.05,   600.71
  224.48,   476.23,   725.71
  221.87,   476.56,   850.85
  223.65,   601.21,   600.31
  221.39,   601.52,   725.57
  218.83,   601.54,   850.64
  220.76,   726.10,   600.24
  218.49,   726.25,   725.00
  216.01,   726.50,   850.01
  351.62,   479.12,   603.12
  349.33,   479.22,   728.20
  346.95,   479.75,   853.35
  348.68,   604.15,   602.79
  346.51,   604.27,   727.88
  344.01,   604.71,   853.03
  346.05,   729.17,   602.70
  343.39,   729.17,   727.64
  340.80,   729.57,   852.57
  101.09,   598.12,   101.10
  100.24,   596.81,   226.07
   99.35,   595.64,   351.09
  103.29,   723.23,   102.55
  102.32,   721.62,   227.41
  101.24,   720.36,   352.31
  105.40,   848.26,   104.00
  104.33,   847.02,   229.05
  103.60,   845.20,   354.04
  226.03,   596.43,   102.04
  224.98,   594.84,   226.92
  224.11,   593.32,   352.28
  228.37,   721.20,   103.52
  227.42,   719.91,   228.42
  226.09,   718.52,   353.49
  230.22,   846.17,   105.01
  229.24,   844.78,   230.06
  228.43,   843.33,   354.93
  351.30,   594.19,   103.15
  350.35,   592.80,   227.92
  349.35,   591.11,   352.81
  353.27,   719.02,   104.49
  352.30,   717.47,   229.33
  351.30,   716.18,   354.26
  355.33,   844.07,   105.82
  354.33,   842.63,   231.00
  353.53,   840.94,   355.92
   99.07,   598.46,   224.69
   99.87,   596.37,   349.76
  100.48,   594.79,   475.01
   97.88,   723.53,   226.66
   98.67,   721.67,   351.87
   99.71,   719.52,   476.78
   97.09,   848.28,   228.69
   97.95,   846.43,   353.66
   98.57,   844.77,   478.80
  224.00,   599.55,   224.01
  224.61,   597.54,   348.97
  225.51,   595.76,   473.84
  222.94,   724.44,   226.13
  223.78,   722.51,   351.15
  224.65,   720.61,   475.82
  222.01,   849.46,   228.02
  223.03,   847.57,   352.73
  223.72,   845.49,   478.05
  348.97,   600.40,   223.40
  349.68,   598.32,   348.16
  350.81,   596.42,   472.99
  347.97,   725.28,   225.24
  348.98,   723.57,   350.08
  349.85,   721.28,   475.14
  347.21,   850.31,   227.08
  347.77,   848.20,   352.00
  348.81,   846.58,   476.98
   99.53,   598.19,   349.01
   97.55,   597.00,   473.87
   95.89,   595.47,   598.66
   96.49,   723.23,   350.34
   94.34,   721.85,   475.21
   92.66,   720.41,   600.32
   93.34,   848.22,   351.52
   91.47,   846.70,   476.45
   89.90,   845.22,   601.59
  224.36,   601.14,   350.70
  222.49,   599.99,   475.60
  220.67,   598.32,   600.70
  221.38,   726.28,   352.19
  219.42,   724.89,   476.96
  217.59,   723.43,   602.05
  218.10,   851.17,   353.57
  216.58,   849.58,   478.36
  214.77,   848.42,   603.32
  349.15,   604.20,   352.55
  347.50,   602.94,   477.56
  345.82,   601.46,   602.57
  346.33,   729.31,   353.76
  344.52,   727.80,   478.96
  342.74,   726.24,   603.82
  343.33,   854.17,   355.05
  341.26,   852.90,   480.28
  339.51,   851.19,   605.07
   99.52,   600.43,   476.52
   99.99,   600.39,   601.34
  100.53,   600.07,   726.72
   99.92,   725.60,   476.61
  100.44,   725.27,   601.66
  100.94,   725.14,   726.66
  100.23,   850.77,   477.09
  100.84,   850.28,   601.90
  101.20,   850.28,   727.01
  224.81,   600.43,   475.87
  224.94,   599.95,   601.16
  225.76,   599.91,   726.14
  224.80,   725.19,   476.03
  225.22,   725.17,   601.09
  225.82,   724.91,   726.36
  225.27,   849.99,   476.59
  225.75,   850.13,   601.54
  226.12,   849.82,   726.67
  349.65,   600.04,   475.68
  350.23,   599.92,   600.57
  350.73,   599.37,   725.64
  350.07,   725.06,   475.57
  350.32,   724.63,   600.54
  350.73,   724.61,   725.82
  350.28,   850.10,   475.76
  350.55,   849.85,   600.90
  351.12,   849.66,   725.89
   98.92,   601.74,   601.38
  102.42,   599.13,   726.30
  105.71,   596.93,   851.40
  102.74,   726.57,   603.98
  106.07,   724.27,   728.64
  109.53,   721.65,   853.42
  106.40,   851.54,   605.96
  109.74,   848.98,   730.99
  113.11,   846.62,   855.92
  223.52,   597.83,   598.09
  227.09,   595.54,   722.88
  230.46,   593.28,   847.93
  227.36,   722.96,   600.34
  230.91,   720.64,   725.17
  234.00,   718.09,   850.05
  231.34,   847.74,   602.65
  234.66,   845.47,   727.48
  238.18,   842.91,   852.46
  348.74,   594.34,   594.37
  352.25,   592.03,   719.30
  355.53,   589.53,   844.24
  352.45,   719.16,   596.74
  355.77,   716.81,   721.71
  359.22,   714.34,   846.75
  356.31,   844.10,   599.25
  359.50,   841.48,   724.12
  362.99,   839.14,   849.00
  223.01,   101.46,   101.26
  222.35,   100.23,   226.08
  221.71,    99.44,   351.14
  219.45,   226.47,   102.16
  219.10,   225.25,   227.00
  218.09,   224.47,   352.36
  216.40,   351.37,   103.08
  215.52,   350.35,   228.33
  214.80,   349.09,   353.37
  348.17,   105.01,   101.97
  347.20,   103.93,   226.94
  346.66,   102.77,   352.06
  344.46,   229.81,   103.07
  343.76,   228.72,   227.83
  343.22,   227.74,   352.93
  341.12,   354.91,   103.85
  340.46,   353.73,   228.96
  339.80,   352.49,   353.99
  473.13,   108.22,   102.66
  472.22,   107.34,   227.49
  471.51,   106.37,   352.63
  469.65,   233.48,   103.68
  469.04,   232.48,   228.71
  468.17,   231.17,   353.59
  466.27,   358.06,   104.83
  465.54,   356.97,   229.73
  464.61,   356.21,   354.77
  224.94,    98.82,   226.62
  224.36,   101.74,   351.45
  223.90,   104.67,   476.41
  225.66,   223.66,   223.75
  225.06,   226.84,   348.64
  224.57,   229.55,   473.53
  226.52,   348.88,   220.60
  225.81,   351.56,   345.78
  225.54,   354.62,   470.71
  349.88,    97.89,   227.13
  349.43,   101.02,   351.84
  348.65,   103.66,   477.02
  350.56,   223.07,   224.17
  350.18,   225.70,   349.29
  349.54,   228.56,   474.28
  351.41,   347.80,   221.32
  350.99,   350.89,   346.16
  350.35,   353.66,   471.11
  475.01,    97.01,   227.60
  474.52,   100.08,   352.77
  473.56,   102.75,   477.81
  475.85,   222.29,   224.70
  475.11,   224.90,   349.58
  474.78,   227.83,   474.70
  476.73,   347.24,   221.76
  476.00,   349.93,   346.73
