27, 125 pa2-debug-b-our-output2.txt
   98.34,   724.79,    97.36
   96.25,   726.86,   222.19
   93.98,   728.42,   346.58
   97.36,   849.69,    94.73
   95.51,   851.91,   219.59
   93.71,   854.36,   344.20
  223.88,   600.43,   100.84
  221.93,   602.55,   226.12
  219.94,   605.17,   350.91
  223.14,   725.41,    98.57
  221.26,   727.54,   223.73
  219.47,   730.06,   348.83
  222.19,   850.34,    96.42
  220.53,   852.72,   221.93
  218.99,   854.82,   346.41
  348.75,   601.16,   102.63
  346.94,   603.31,   227.90
  344.74,   605.82,   353.06
  348.35,   726.24,   100.82
  346.38,   728.57,   225.85
  344.54,   730.97,   350.11
  347.13,   851.28,    98.12
  345.66,   853.23,   223.11
  343.62,   855.43,   348.68
  100.43,   600.36,   225.89
  102.33,   601.04,   350.45
  103.86,   602.26,   475.18
  101.78,   726.00,   224.72
  103.31,   726.15,   349.55
  104.87,   727.01,   474.95
  102.73,   850.72,   224.19
  104.71,   851.45,   349.56
  105.30,   852.08,   474.49
  225.38,   600.10,   224.38
  227.25,   600.66,   348.79
  227.97,   601.09,   473.83
  226.81,   724.84,   223.82
  228.42,   725.40,   348.80
  229.60,   726.52,   473.87
  228.28,   849.66,   222.63
  229.06,   849.96,   347.57
  230.90,   851.04,   472.81
  351.21,   598.47,   222.91
  352.49,   599.78,   347.49
  353.81,   599.75,   473.23
  351.25,   723.57,   222.48
  352.73,   724.53,   346.89
  354.80,   724.65,   472.06
  353.05,   848.47,   221.43
  354.15,   849.73,   346.58
  355.89,   850.21,   471.47
   98.05,   601.10,   351.04
   97.19,   603.69,   475.54
   95.86,   605.55,   600.46
   97.36,   726.23,   349.16
   96.28,   728.45,   473.55
   94.74,   730.30,   598.77
   97.05,   850.79,   346.58
   96.12,   853.80,   471.17
   95.17,   855.11,   596.39
  223.12,   601.75,   352.27
  222.25,   603.65,   476.51
  220.31,   606.29,   601.92
  222.52,   726.57,   349.54
  221.50,   729.25,   474.73
  220.07,   730.77,   599.95
  222.54,   851.69,   347.62
  221.34,   853.82,   472.67
  219.90,   856.05,   596.84
  347.88,   602.50,   353.43
  347.09,   604.68,   478.77
  346.03,   606.12,   603.52
  347.47,   727.07,   351.21
  346.89,   729.56,   476.44
  345.23,   731.82,   600.98
  347.67,   852.09,   348.88
  345.93,   854.08,   474.08
  345.26,   856.30,   598.39
  101.64,   600.30,   474.62
   99.52,   604.04,   599.45
   96.09,   607.35,   724.78
   99.12,   725.65,   471.29
   96.60,   729.15,   596.22
   94.27,   732.15,   721.24
   96.11,   850.09,   467.34
   93.79,   854.18,   592.29
   91.31,   857.23,   717.33
  226.79,   603.54,   476.88
  223.95,   606.65,   601.52
  221.29,   609.82,   726.52
  223.66,   727.89,   473.73
  221.96,   731.91,   598.73
  218.91,   734.50,   723.22
  221.10,   853.11,   470.39
  218.56,   856.54,   595.24
  216.12,   860.31,   719.92
  351.80,   606.19,   479.54
  348.75,   609.01,   604.42
  346.91,   612.36,   729.73
  348.93,   730.38,   475.65
  346.32,   733.76,   600.82
  343.79,   737.97,   726.10
  345.93,   856.09,   472.48
  343.35,   859.65,   597.51
  341.11,   862.26,   722.77
   99.57,   600.55,   598.59
  100.71,   599.41,   723.74
  103.15,   597.75,   849.22
   99.10,   725.74,   600.51
  101.58,   724.25,   725.40
  103.14,   723.02,   850.04
   99.73,   850.51,   601.94
  101.24,   849.05,   726.79
  103.27,   847.74,   851.58
  224.24,   599.91,   597.38
  226.37,   599.00,   722.37
  228.38,   597.20,   846.98
  224.42,   725.17,   598.08
  226.50,   724.39,   723.64
  228.25,   722.76,   848.55
  224.93,   850.03,   599.88
  226.66,   848.60,   724.62
  228.66,   847.46,   849.83
  349.32,   600.19,   595.33
  351.19,   598.34,   720.12
  352.82,   597.21,   845.36
  349.78,   725.39,   596.66
  351.36,   724.02,   722.00
  353.36,   722.34,   846.42
  349.18,   849.73,   598.33
  351.34,   849.04,   722.74
  353.06,   847.35,   847.77
  224.62,    98.76,   100.84
  228.39,   101.66,   225.24
  232.19,   105.42,   349.85
  224.25,   223.49,    97.23
  228.00,   226.62,   221.96
  231.37,   230.06,   347.27
  223.28,   348.39,    93.62
  226.95,   351.84,   218.78
  230.90,   355.19,   343.17
  349.78,    98.68,    96.67
  353.56,   102.19,   221.54
  357.31,   105.90,   346.69
  349.44,   223.90,    93.51
  353.24,   227.07,   218.53
  356.87,   230.95,   343.83
  348.11,   349.05,    90.24
  351.99,   352.19,   215.28
  355.70,   355.12,   339.63
  475.03,    99.78,    93.04
  478.53,   102.93,   217.50
  481.75,   106.52,   343.30
  474.16,   224.86,    89.75
  478.12,   228.23,   214.58
  481.16,   230.67,   339.36
  473.32,   349.21,    86.05
  477.31,   352.56,   211.46
  480.26,   356.15,   336.09
  226.49,    99.12,   224.51
  226.45,   100.49,   349.81
  226.76,   101.17,   474.83
  224.65,   223.96,   223.55
  225.30,   225.31,   347.91
  225.18,   226.48,   472.91
  222.70,   348.33,   222.20
