27, 125 pa2-unknown-j-our-output2.txt
   96.36,   724.35,   604.79
   95.57,   721.72,   729.86
   95.22,   718.94,   854.94
  224.11,   475.71,   600.13
  223.51,   473.28,   725.20
  223.15,   470.76,   850.16
  222.64,   600.99,   602.76
  222.00,   598.08,   727.70
  221.56,   595.60,   852.62
  221.03,   725.80,   605.51
  220.82,   723.26,   730.63
  220.35,   720.52,   855.51
  349.17,   477.34,   600.87
  348.52,   474.72,   725.66
  347.98,   471.93,   850.71
  347.69,   602.38,   603.50
  347.06,   599.55,   728.18
  346.79,   596.99,   853.23
  346.38,   727.30,   606.06
  345.59,   724.67,   731.12
  345.13,   721.91,   855.98
   98.32,   599.52,   101.79
   96.65,   599.49,   226.85
   94.55,   599.42,   351.74
   94.99,   724.45,   101.79
   93.40,   724.46,   226.73
   91.27,   724.45,   352.02
   91.67,   849.54,   101.93
   89.83,   849.41,   226.97
   87.88,   849.16,   351.89
  223.31,   603.10,   103.78
  221.35,   602.97,   228.88
  219.45,   602.83,   353.49
  219.96,   727.97,   103.74
  217.97,   727.85,   228.83
  216.09,   727.59,   353.63
  216.64,   852.81,   103.73
  214.72,   852.79,   228.94
  212.78,   852.83,   353.73
  348.30,   606.36,   105.56
  346.56,   606.32,   230.42
  344.45,   606.13,   355.31
  344.84,   731.21,   105.73
  343.09,   731.24,   230.48
  341.41,   731.11,   355.71
  341.42,   856.24,   105.51
  339.72,   855.98,   230.50
  337.98,   856.18,   355.71
  100.55,   601.75,   223.90
   97.22,   599.54,   349.00
   94.29,   597.24,   474.10
  102.23,   726.68,   226.38
   99.26,   724.68,   351.39
   95.95,   722.47,   476.43
  104.15,   851.80,   228.56
  101.08,   849.44,   353.76
   97.82,   847.38,   478.41
  225.52,   599.76,   227.17
  222.34,   597.67,   352.14
  219.15,   595.63,   477.34
  227.18,   724.85,   229.52
  224.06,   722.53,   354.31
  220.96,   720.45,   479.40
  229.27,   849.91,   231.95
  225.78,   847.74,   356.82
  222.51,   845.49,   481.93
  350.55,   598.10,   230.44
  347.41,   595.79,   355.44
  343.92,   593.58,   480.25
  352.41,   723.00,   232.89
  348.90,   720.70,   357.79
  345.68,   718.54,   482.71
  354.11,   848.11,   235.02
  350.66,   845.87,   360.04
  347.70,   843.68,   485.08
   98.44,   600.58,   351.52
  101.31,   602.12,   476.36
  104.59,   603.27,   601.15
  101.73,   725.36,   349.69
  104.76,   727.12,   474.63
  107.86,   728.39,   599.79
  105.22,   850.58,   348.35
  108.38,   852.05,   473.27
