27, 125 pa2-debug-e-our-output2.txt
  225.76,   725.74,   470.79
  225.05,   729.19,   595.88
  227.24,   847.20,   342.60
  226.73,   850.70,   467.23
  226.04,   854.17,   592.48
  350.37,   596.38,   350.04
  349.77,   599.86,   475.01
  349.11,   603.32,   599.99
  351.28,   721.24,   346.57
  350.70,   724.83,   471.58
  350.06,   728.31,   596.53
  352.20,   846.25,   343.10
  351.62,   849.63,   468.03
  351.01,   853.26,   592.95
  100.25,   598.21,   476.44
   99.66,   596.26,   601.40
   99.05,   594.18,   726.38
  101.38,   723.23,   478.46
  100.76,   721.19,   603.48
  100.19,   719.10,   728.44
  102.43,   848.29,   480.56
  101.99,   846.14,   605.49
  101.23,   844.13,   730.61
  225.37,   597.14,   476.99
  224.58,   595.07,   602.00
  224.05,   593.04,   726.94
  226.47,   722.14,   478.97
  225.74,   720.02,   604.11
  225.34,   717.96,   728.95
  227.59,   847.11,   480.98
  226.89,   845.02,   606.22
  226.47,   842.98,   730.89
  350.28,   596.01,   477.58
  349.62,   593.92,   602.60
  349.04,   591.93,   727.58
  351.40,   721.01,   479.70
  350.76,   718.93,   604.69
  350.01,   716.89,   729.74
  352.49,   845.84,   481.71
  351.84,   843.93,   606.68
  351.03,   841.82,   731.93
   98.92,   599.29,   600.56
   96.07,   602.64,   725.48
   93.33,   606.01,   850.36
   99.87,   724.19,   597.26
   96.96,   727.49,   722.20
   94.04,   730.87,   847.10
  100.90,   849.11,   593.91
   97.91,   852.51,   718.86
   95.10,   855.82,   843.74
  223.82,   598.35,   603.47
  221.02,   601.72,   728.35
  218.05,   605.08,   853.28
  224.82,   723.27,   600.20
  222.17,   726.61,   724.97
  219.17,   729.91,   850.02
  225.80,   848.27,   596.94
  223.02,   851.62,   721.63
  220.05,   854.96,   846.74
  348.83,   597.46,   606.40
  345.97,   600.88,   731.33
  343.10,   604.29,   856.20
  349.81,   722.46,   603.10
  346.74,   725.81,   728.11
  343.80,   729.11,   852.93
  350.72,   847.41,   599.71
  347.66,   850.68,   724.89
  344.97,   854.12,   849.46
  225.42,   101.41,    99.46
  223.30,   101.05,   224.49
  221.13,   100.77,   349.47
  225.35,   226.41,    99.96
  223.28,   226.09,   224.84
  220.98,   225.70,   349.83
  225.13,   351.49,   100.09
  223.21,   351.07,   225.18
  220.93,   350.72,   350.20
  350.34,   101.54,   101.71
  348.24,   101.10,   226.64
  346.19,   100.80,   351.59
  350.38,   226.41,   102.00
  348.16,   226.11,   226.99
  346.06,   225.76,   351.95
  350.17,   351.54,   102.28
  348.12,   351.14,   227.32
  345.99,   350.77,   352.30
  475.42,   101.48,   103.66
  473.24,   101.20,   228.72
  471.14,   100.85,   353.72
  475.22,   226.63,   104.13
  473.20,   226.25,   229.09
  471.09,   225.84,   354.05
  475.28,   351.59,   104.50
  473.07,   351.17,   229.47
  470.99,   350.85,   354.38
  225.62,   101.15,   226.44
  227.02,   103.10,   351.41
  228.52,   104.86,   476.41
  228.37,   226.15,   224.53
  229.66,   228.01,   349.50
  231.31,   229.89,   474.49
  231.07,   351.09,   222.60
  232.36,   352.98,   347.62
  234.04,   354.88,   472.53
  350.55,    98.43,   225.07
  352.07,   100.37,   350.01
  353.40,   102.19,   475.00
  353.23,   223.40,   223.16
  354.70,   225.28,   348.10
  356.14,   227.20,   473.12
  355.96,   348.40,   221.21
  357.40,   350.25,   346.19
  358.86,   352.17,   471.17
  475.53,    95.77,   223.60
  477.02,    97.69,   348.59
  478.39,    99.50,   473.62
  478.25,   220.77,   221.74
  479.71,   222.57,   346.68
  481.07,   224.46,   471.71
  480.91,   345.65,   219.84
  482.38,   347.54,   344.75
  483.82,   349.49,   469.78
  223.71,    98.80,   351.41
  226.20,    95.55,   476.38
  228.58,    92.49,   601.30
  220.00,   223.64,   354.63
  222.64,   220.49,   479.59
  224.88,   217.36,   604.50
  216.40,   348.57,   357.86
  219.06,   345.43,   482.74
  221.23,   342.24,   607.76
  348.69,   102.45,   349.07
  351.02,    99.24,   474.02
  353.53,    96.18,   598.92
  345.02,   227.31,   352.30
  347.45,   224.20,   477.27
  349.91,   221.08,   602.14
  341.40,   352.24,   355.51
  343.87,   349.14,   480.44
  346.23,   345.92,   605.38
  473.57,   106.06,   346.76
  475.95,   102.94,   471.71
  478.49,    99.80,   596.65
  469.99,   231.01,   349.92
  472.33,   227.86,   474.93
  474.84,   224.69,   599.82
  466.34,   355.93,   353.12
  468.76,   352.83,   478.11
  471.23,   349.59,   603.01
  224.98,    99.25,   474.94
  227.04,    96.52,   599.89
  229.08,    93.73,   724.79
  224.83,   224.27,   477.77
  226.73,   221.45,   602.69
  229.00,   218.59,   727.68
  224.64,   349.27,   480.53
  226.49,   346.40,   605.57
  228.77,   343.66,   730.44
  349.87,    99.55,   472.83
  352.05,    96.81,   597.74
  354.22,    94.00,   722.72
  349.68,   224.57,   475.69
  351.82,   221.77,   600.58
  353.93,   218.88,   725.58
  349.50,   349.56,   478.47
  351.54,   346.68,   603.43
  353.67,   343.90,   728.38
  474.86,    99.85,   470.76
  477.06,    97.02,   595.72
  478.94,    94.24,   720.63
  474.63,   224.82,   473.59
  476.81,   221.96,   598.51
  478.77,   219.15,   723.48
  474.45,   349.84,   476.39
  476.59,   346.93,   601.31
  478.70,   344.21,   726.29
  225.48,    99.06,   600.72
  225.01,   102.30,   725.68
  224.56,   105.67,   850.64
  222.22,   223.94,   597.36
  221.91,   227.27,   722.31
  221.42,   230.61,   847.26
  219.04,   348.83,   594.04
  218.69,   352.24,   718.94
  218.25,   355.59,   843.91
  350.48,   102.28,   601.01
  350.10,   105.47,   726.03
  349.71,   108.77,   850.98
  347.28,   227.16,   597.67
  346.88,   230.49,   722.65
  346.50,   233.81,   847.62
  344.04,   352.03,   594.35
